   0.02591	  -7.63603	   4.00000
   0.02945	  -7.64279	   4.00000
  -0.06265	  -7.61606	   4.00000
  -0.06651	  -7.61381	   4.00000
  -0.05943	  -7.59674	   4.00000
   0.11383	  -7.55970	   4.00000
   0.27710	  -7.49755	   4.00000
   0.35117	  -7.43894	   4.00000
   0.47193	  -7.36938	   4.00000
   0.56371	  -7.28178	   4.00000
   0.61781	  -7.19676	   4.00000
   0.70541	  -7.10047	   4.00000
   0.78721	  -6.98164	   4.00000
   0.88382	  -6.89340	   4.00000
   0.95821	  -6.76233	   4.00000
   1.00780	  -6.61805	   4.00000
   1.06996	  -6.48376	   4.00000
   1.08670	  -6.36267	   4.00000
   1.15723	  -6.19392	   4.00000
   1.22260	  -6.02034	   4.00000
   1.28411	  -5.84097	   4.00000
   1.35238	  -5.68414	   4.00000
   1.40294	  -5.49091	   4.00000
   1.45576	  -5.29576	   4.00000
   1.52596	  -5.09126	   4.00000
   1.56106	  -4.89578	   4.00000
   1.62547	  -4.68002	   4.00000
   1.66444	  -4.48841	   4.00000
   1.68730	  -4.25589	   4.00000
   1.74366	  -4.03208	   4.00000
   1.79841	  -3.81245	   4.00000
   1.83737	  -3.57994	   4.00000
   1.88278	  -3.35129	   4.00000
   1.92271	  -3.08175	   4.00000
   1.90371	  -2.82315	   4.00000
   1.96072	  -2.57744	   4.00000
   2.03478	  -2.30499	   4.00000
   2.07762	  -2.03062	   4.00000
   2.11046	  -1.77106	   4.00000
   2.16521	  -1.48090	   4.00000
   2.17906	  -1.19976	   4.00000
   2.19033	  -0.92281	   4.00000
   2.24121	  -0.64071	   4.00000
   2.28469	  -0.34540	   4.00000
   2.29886	  -0.04719	   4.00000
   2.32816	   0.26679	   4.00000
   2.34201	   0.56758	   4.00000
   2.38742	   0.86772	   4.00000
   2.40577	   1.17204	   4.00000
   2.43894	   1.50149	   4.00000
   2.50303	   1.80871	   4.00000
   2.52042	   2.13590	   4.00000
   2.46020	   2.47791	   4.00000
   2.54071	   2.79770	   4.00000
   2.55778	   3.09397	   4.00000
   2.60705	   3.46142	   4.00000
   2.63474	   3.78797	   4.00000
   2.65117	   4.13320	   4.00000
   2.66019	   4.47457	   4.00000
   2.69400	   4.81916	   4.00000
   2.74488	   5.16664	   4.00000
   2.75519	   5.51800	   4.00000
   2.76227	   5.85647	   4.00000
   2.74392	   6.20782	   4.00000
   2.78675	   6.57496	   4.00000
   2.82539	   6.90957	   4.00000
   2.81992	   7.30086	   4.00000
   2.86597	   7.64417	   4.00000
   2.88207	   8.02387	   4.00000
   2.87080	   8.38683	   4.00000
   2.91782	   8.76073	   4.00000
   2.90494	   9.14141	   4.00000
   2.89882	   9.48762	   4.00000
   2.93328	  -9.87167	   4.00000
   2.96258	  -9.49551	   4.00000
   2.95840	  -9.12967	   4.00000
   3.01765	  -8.72937	   4.00000
   2.98416	  -8.35579	   4.00000
   3.01604	  -7.97127	   4.00000
   3.04470	  -7.60157	   4.00000
   3.04599	  -7.17937	   4.00000
